League,Season,Team,Players Used,Average Age,Possession,Matches Played,Games Started,Minutes Played,90 Minutes Played,Goals,Assists,Goals+Assists,Non-Penalty Goals,Penalty Kick Goals,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Expected Non-Penalty Goals,Expected Assisted Goals,Expected Non-Penalty+Assisted Goals,Progressive Carries,Progressive Passes
ENG-Premier League,1920,Arsenal,29,25.8,53.8,38,418,3420,38,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641
ENG-Premier League,1920,Aston Villa,28,25.7,44.1,38,418,3420,38,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247
ENG-Premier League,1920,Bournemouth,27,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256
ENG-Premier League,1920,Brighton,25,26.4,52.2,38,418,3420,38,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675
ENG-Premier League,1920,Burnley,22,28.0,41.9,38,418,3420,38,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890
ENG-Premier League,1920,Chelsea,27,25.5,60.4,38,418,3420,38,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897
ENG-Premier League,1920,Crystal Palace,25,29.4,44.8,38,418,3420,38,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223
ENG-Premier League,1920,Everton,24,25.5,49.0,38,418,3420,38,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430
ENG-Premier League,1920,Leicester City,24,26.1,57.1,38,418,3420,38,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612
ENG-Premier League,1920,Liverpool,24,26.6,62.9,38,418,3420,38,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941
ENG-Premier League,1920,Manchester City,24,26.9,66.2,38,418,3420,38,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460
ENG-Premier League,1920,Manchester Utd,29,24.8,55.8,38,418,3420,38,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788
ENG-Premier League,1920,Newcastle Utd,28,26.5,39.0,38,418,3420,38,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844
ENG-Premier League,1920,Norwich City,30,26.0,49.3,38,418,3420,38,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169
ENG-Premier League,1920,Sheffield Utd,26,26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352
ENG-Premier League,1920,Southampton,25,25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335
ENG-Premier League,1920,Tottenham,29,26.7,52.0,38,418,3420,38,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410
ENG-Premier League,1920,Watford,26,28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168
ENG-Premier League,1920,West Ham,29,27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377
ENG-Premier League,1920,Wolves,21,26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338
ENG-Premier League,2021,Arsenal,29,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,51.7,47.0,35.1,82.1,758,1760
